y,np_variabel,tids_fe,bruksareal,innt_form,innt_enhet,spot_enhet,gradtall,vekting,utvalg,N,n_kommuner,b_egd,b_spot_enhet,b_np,b_innt_enhet,r2_within,r2_overall,r2_ols_dummyer,mean_y,avvik_egd,avvik_spot,avvik_np,avvik_innt,avvik_r2,r2_variant,avvik_koef_sum,avstand
log_kwh,post_okt2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,uvektet,alle,10047,197,0.0018837642266519516,-0.0003676885056547875,0.09503148043954106,0.0008996017210593678,0.9410390187863116,0.13174331185844435,0.9937117142259302,15.495846165775767,0.008545143867393915,0.26462298869042505,0.1561007352742222,0.6251659495585967,0.0036678954632162835,r2_within,1.054434817390638,1.0581027128538543
log_kwh,post_okt2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base18,uvektet,alle,10047,197,0.00186680362709645,-0.0003549367876325017,0.09330977990591391,0.0009290908267798522,0.9400216094372269,0.15595570032352546,0.9936032058428511,15.495846165775767,0.0174717752123947,0.29012642473499667,0.13515547330795516,0.6128788221750616,0.002582774570421195,r2_within,1.0556324954304082,1.0582152700008294
log_kwh,post_okt2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,uvektet,alle,10047,197,0.0018838095099831447,-0.0003679151092982137,0.09517862902350449,0.0008997705790652882,0.9410324757519921,0.148042990955758,0.9937110164005415,15.495846165775767,0.008521310535187024,0.26416978140357256,0.15789086403290142,0.6250955920561299,0.0036609169709813628,r2_within,1.055677548027791,1.0593384649987723
log_kwh_per_maler,post_sep2025,ingen,uten,lineaer,10000_kr,ore_per_kwh,base17,n_mp,pa_entydig,6426,126,0.001874501363317854,-0.00033441387004960586,0.06440079685866058,0.0035531045284967634,0.9587546605609384,0.2194459697663016,0.9627326255103316,6.8791870903583,0.013420335095866267,0.3311722599007883,0.21653531802116074,0.48046022020698487,0.02256256459144454,r2_within,1.0415881332248,1.0641506978162445
log_kwh_per_maler,post_okt2025,ingen,med,lineaer,10000_kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.0018919314310118264,-0.0003686942828485624,0.08758465568431976,0.004161966622616955,0.9389102108627113,0.2286699179506817,0.9481282008022057,6.899626471620341,0.004246615256933473,0.2626114343028752,0.06550676014987554,0.7341527594237314,0.0013974091965777786,r2_within,1.0665175691334157,1.0679149783299935
log_kwh_per_maler,post_okt2025,ingen,uten,lineaer,10000_kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.0018919580743808656,-0.0003687595557577592,0.08763294463526623,0.00416529928118365,0.9389095210687987,0.2409433707515254,0.948127615093009,6.899626471620341,0.0042325924311233535,0.26248088848448164,0.06609421697404182,0.7355413671598543,0.0013966734948791266,r2_within,1.0683490650495011,1.0697457385443803
log_kwh_per_maler,post_okt2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,uvektet,pa_entydig,6426,126,0.0018899322578097867,-0.00035605341846056893,0.0834169670350829,0.00054692207954987,0.9363089095119497,0.2549095714096673,0.9458091057893538,6.8791870903583,0.0052988116790596085,0.28789316307886215,0.014804951764998884,0.7721158001875541,0.0013770163055144167,r2_within,1.0801127267104746,1.081489743015989
log_kwh_per_maler,post_okt2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,uvektet,pa_entydig,6426,126,0.0018899634523735888,-0.0003563623295743862,0.08345003321521136,0.0005455540387424302,0.9363079010254899,0.26712505670031317,0.9458082477292604,6.8791870903583,0.005282393487584829,0.2872753408512276,0.01520721673006521,0.7726858171906541,0.0013780919096737447,r2_within,1.0804507682595317,1.0818288601692054
log_kwh,post_okt2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,n_mp,pa_entydig,6426,126,0.0018618220919038818,-0.0003589366181567634,0.08552804996269388,0.0006661051273572996,0.9590111096328657,0.04835758613539809,0.9976709697849867,15.411857521941595,0.020093635840062202,0.28212676368647327,0.040487225823526554,0.7224561969344585,0.022836081093073533,r2_within,1.0651638222845206,1.087999903377594
log_kwh,post_okt2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,n_mp,alle,10047,197,0.0018648328224993426,-0.000347610663222908,0.0858839780215802,0.0007193590237747706,0.9591260441245203,0.05888854215847106,0.9973254177549256,15.495846165775767,0.01850904078981969,0.30477867355418403,0.04481725087080536,0.700267073427179,0.02295866480857541,r2_within,1.068372038641988,1.0913307034505633
log_kwh,post_okt2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,n_mp,pa_entydig,6426,126,0.001861949077303904,-0.00035929813722171443,0.08603354633191067,0.0006706105423178671,0.9589655449522722,0.10951733626110138,0.9976683807537422,15.411857521941595,0.02002680141899786,0.28140372555657117,0.04663681668991086,0.7205789407008887,0.022787483950802222,r2_within,1.0686462843663687,1.0914337683171709
