modell,nullverdi,p_wcr,akseptert_5pst
D7_g_B999,0.01980458417753207,0.001,0
D7_g_B999,0.019811605717360625,0.001,0
D7_g_B999,0.019818627257189185,0.001,0
D7_g_B999,0.01982564879701774,0.001,0
D7_g_B999,0.019832670336846298,0.001,0
D7_g_B999,0.019839691876674857,0.001,0
D7_g_B999,0.019846713416503414,0.001,0
D7_g_B999,0.01985373495633197,0.001,0
D7_g_B999,0.01986075649616053,0.001,0
D7_g_B999,0.019867778035989086,0.001,0
D7_g_B999,0.019874799575817642,0.001,0
D7_g_B999,0.019881821115646202,0.001,0
D7_g_B999,0.019888842655474758,0.001,0
D7_g_B999,0.019895864195303314,0.001,0
D7_g_B999,0.019902885735131874,0.001,0
D7_g_B999,0.01990990727496043,0.001,0
D7_g_B999,0.019916928814788987,0.001,0
D7_g_B999,0.019923950354617546,0.001,0
D7_g_B999,0.019930971894446103,0.001,0
D7_g_B999,0.01993799343427466,0.001,0
D7_g_B999,0.01994501497410322,0.001,0
D7_g_B999,0.019952036513931775,0.001,0
D7_g_B999,0.01995905805376033,0.001,0
D7_g_B999,0.01996607959358889,0.001,0
D7_g_B999,0.019973101133417447,0.001,0
D7_g_B999,0.019980122673246004,0.001,0
D7_g_B999,0.019987144213074563,0.001,0
